"",条码,MAIN_MAC,MAIN_App版本,电压值,终端类型,MAIN_晶振测试值,MAIN_RSSI1,MAIN_RSSI2,电流值,测试失败项,测试时间,测试耗时,测试结果
"",P2M0CI230034,1599EF5A,00000000,6226,00014006,35788,9,9,2172,"",2018/3/5 星期一 17:53:32,128.551,true
"",P2M0CI230035,1599EF22,00000000,6202,00014006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 17:54:59,54.373,false
"",P2M0CI230035,159A1245,00000000,6196,00014006,35788,9,9,2237,"",2018/3/5 星期一 17:56:31,73.164,true
"",P2M0CI230036,1599EF22,00000000,6199,00014006,35788,9,9,2160,"",2018/3/5 星期一 17:58:00,65.786,true
"",P2M0CI230037,1599EF6A,00000000,6216,00014006,35786,0,0,0,MAIN_CRYSTAL,2018/3/5 星期一 17:59:41,54.505,false
"",P2M0CI230037,1599EF3C,00000000,6237,00014006,35788,8,9,2286,"",2018/3/5 星期一 18:02:17,61.783,true
"",P2M0CI230038,1599D0CD,00000000,6242,00014006,35788,8,9,2188,"",2018/3/5 星期一 18:07:09,64.589,true
"",P2M0CI230039,1599D087,00000000,6214,00014006,35788,54,49,0,MAIN_RADIO,2018/3/5 星期一 18:14:23,57.81,false
"",P2M0CI230039,"","",8,"",0,0,0,0,GET_VOL,2018/3/5 星期一 18:15:37,38.371,false
"",P2M0CI230039,1599D0C2,00000000,6251,00014006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 18:19:40,207.915,false
"",P2M0CI230039,1599D0C2,00000000,6270,00014006,35788,9,9,896,"",2018/3/5 星期一 18:21:40,106.719,true
"",P2M0CI230039,1599D0C2,00000000,6262,00014006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 18:23:27,55.375,false
"",P2M0CI230039,1599D0C2,00000000,6249,00014006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 18:24:32,50.873,false
"",P2M0CI230039,1599D0C2,00000000,6272,00014006,35788,9,9,549,"",2018/3/5 星期一 18:26:23,62.548,true
"",P2M0CI230040,1599D0B3,00000000,6222,00014006,0,0,0,0,TEST_EXT_IO,2018/3/5 星期一 18:28:49,78.607,false
"",P2M0CI230040,1599D0B3,00000000,6224,00014006,35788,8,9,2122,"",2018/3/5 星期一 18:30:05,66.699,true
"",P2M0CI230041,1599D0FE,00000000,6194,00014006,35788,8,9,51,"",2018/3/5 星期一 18:33:55,61.777,true
"",P2M0CI230042,1599EF31,00000000,6225,00014006,35788,9,9,2236,"",2018/3/5 星期一 18:36:21,71.727,true
"",P2M0CI230043,1599EF4A,00000000,6222,00014006,0,0,0,0,TEST_LED,2018/3/5 星期一 18:38:26,54.123,false
"",P2M0CI230043,1599C4E4,00000000,6246,00014006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 18:40:28,101.24,false
"",P2M0CI230043,159A121A,00000000,6225,00014006,35788,9,9,2823,LOWPOWER_MODE,2018/3/5 星期一 18:44:35,74.296,false
"",P2M0CI230043,1599D087,00000000,6232,00014006,0,0,0,0,TEST_EXT_IO,2018/3/6 星期二 10:12:00,61.629,false
"",P2M0CI230043,1599D087,00000000,6234,00014006,0,0,0,0,Main_Auto_Test,2018/3/6 星期二 10:13:09,52.799,false
"",P2M0CI230043,1599D087,00000000,6229,00014006,35788,8,9,1686,"",2018/3/6 星期二 10:14:42,63.544,true
"",P2M0CI230044,1599EF4A,00000000,6227,00014006,0,0,0,0,TEST_LED,2018/3/6 星期二 10:21:10,100.739,false
"",P2M0CI230041,1599D0FE,00000000,6199,00014006,35788,256,256,0,MAIN_RADIO,2018/3/6 星期二 11:30:55,74.756,false
"",P2M0CI230041,1599D0FE,00000000,6208,00014006,35788,8,9,2166,"",2018/3/6 星期二 11:32:22,72.227,true
"",P2M0CI230032,1599D0FD,00000000,6251,00014006,0,0,0,0,Main_Auto_Test,2018/3/6 星期二 13:45:47,76.45,false
"",P2M0CI230032,1599D0FD,00000000,6243,00014006,35788,9,9,2117,"",2018/3/6 星期二 13:48:09,85.966,true
"",P2M0CI230044,1599C4E4,00000000,6215,00014006,0,0,0,0,Main_Auto_Test,2018/3/6 星期二 13:53:37,56.211,false
"",P2M0CI230044,1599C4E4,00000000,6228,00014006,35788,9,9,2204,"",2018/3/6 星期二 13:54:56,66.837,true
"",P2M0CI230045,1599D0BB,00000000,6239,00014006,35788,8,9,2181,"",2018/3/6 星期二 14:07:55,84.244,true
"",P2M0CI230001,159A0824,00000000,6193,00014006,35788,8,9,2183,"",2018/3/6 星期二 14:50:50,71.794,true
"",P2M0CI230011,1599C4F8,00000000,6200,00014006,35788,8,9,2168,"",2018/3/6 星期二 14:53:25,64.754,true
