ID,条码,MAIN_MAC,MAIN_App版本,电压值,终端类型,MAIN_晶振测试值,MAIN_RSSI1,MAIN_RSSI2,电流值,测试失败项,测试时间,测试耗时,测试结果
72,P2M0CI230033,1599EF66,0,6214,14006,35788,256,256,0,MAIN_RADIO,2018/3/5 星期一 17:49:29,73.977,FALSE
73,P2M0CI230033,1599EF66,0,6226,14006,35788,9,9,2028,,2018/3/5 星期一 17:50:48,62.183,TRUE
74,P2M0CI230034,1599EF5A,0,6226,14006,35788,9,9,2172,,2018/3/5 星期一 17:53:32,128.551,TRUE
75,P2M0CI230035,1599EF22,0,6202,14006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 17:54:59,54.373,FALSE
76,P2M0CI230035,159A1245,0,6196,14006,35788,9,9,2237,,2018/3/5 星期一 17:56:31,73.164,TRUE
77,P2M0CI230036,1599EF22,0,6199,14006,35788,9,9,2160,,2018/3/5 星期一 17:58:00,65.786,TRUE
78,P2M0CI230037,1599EF6A,0,6216,14006,35786,0,0,0,MAIN_CRYSTAL,2018/3/5 星期一 17:59:41,54.505,FALSE
79,P2M0CI230037,1599EF3C,0,6237,14006,35788,8,9,2286,,2018/3/5 星期一 18:02:17,61.783,TRUE
80,P2M0CI230038,1599D0CD,0,6242,14006,35788,8,9,2188,,2018/3/5 星期一 18:07:09,64.589,TRUE
81,P2M0CI230039,1599D087,0,6214,14006,35788,54,49,0,MAIN_RADIO,2018/3/5 星期一 18:14:23,57.81,FALSE
82,P2M0CI230039,,,8,,0,0,0,0,GET_VOL,2018/3/5 星期一 18:15:37,38.371,FALSE
83,P2M0CI230039,1599D0C2,0,6251,14006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 18:19:40,207.915,FALSE
84,P2M0CI230039,1599D0C2,0,6270,14006,35788,9,9,896,,2018/3/5 星期一 18:21:40,106.719,TRUE
85,P2M0CI230039,1599D0C2,0,6262,14006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 18:23:27,55.375,FALSE
86,P2M0CI230039,1599D0C2,0,6249,14006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 18:24:32,50.873,FALSE
87,P2M0CI230039,1599D0C2,0,6272,14006,35788,9,9,549,,2018/3/5 星期一 18:26:23,62.548,TRUE
88,P2M0CI230040,1599D0B3,0,6222,14006,0,0,0,0,TEST_EXT_IO,2018/3/5 星期一 18:28:49,78.607,FALSE
89,P2M0CI230040,1599D0B3,0,6224,14006,35788,8,9,2122,,2018/3/5 星期一 18:30:05,66.699,TRUE
90,P2M0CI230041,1599D0FE,0,6194,14006,35788,8,9,51,,2018/3/5 星期一 18:33:55,61.777,TRUE
91,P2M0CI230042,1599EF31,0,6225,14006,35788,9,9,2236,,2018/3/5 星期一 18:36:21,71.727,TRUE
92,P2M0CI230043,1599EF4A,0,6222,14006,0,0,0,0,TEST_LED,2018/3/5 星期一 18:38:26,54.123,FALSE
93,P2M0CI230043,1599C4E4,0,6246,14006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 18:40:28,101.24,FALSE
94,P2M0CI230043,159A121A,0,6225,14006,35788,9,9,2823,LOWPOWER_MODE,2018/3/5 星期一 18:44:35,74.296,FALSE
95,P2M0CI230043,1599D087,0,6232,14006,0,0,0,0,TEST_EXT_IO,2018/3/6 星期二 10:12:00,61.629,FALSE
96,P2M0CI230043,1599D087,0,6234,14006,0,0,0,0,Main_Auto_Test,2018/3/6 星期二 10:13:09,52.799,FALSE
97,P2M0CI230043,1599D087,0,6229,14006,35788,8,9,1686,,2018/3/6 星期二 10:14:42,63.544,TRUE
98,P2M0CI230044,1599EF4A,0,6227,14006,0,0,0,0,TEST_LED,2018/3/6 星期二 10:21:10,100.739,FALSE
99,P2M0CI230041,1599D0FE,0,6199,14006,35788,256,256,0,MAIN_RADIO,2018/3/6 星期二 11:30:55,74.756,FALSE
100,P2M0CI230041,1599D0FE,0,6208,14006,35788,8,9,2166,,2018/3/6 星期二 11:32:22,72.227,TRUE
101,P2M0CI230032,1599D0FD,0,6251,14006,0,0,0,0,Main_Auto_Test,2018/3/6 星期二 13:45:47,76.45,FALSE
102,P2M0CI230032,1599D0FD,0,6243,14006,35788,9,9,2117,,2018/3/6 星期二 13:48:09,85.966,TRUE
103,P2M0CI230044,1599C4E4,0,6215,14006,0,0,0,0,Main_Auto_Test,2018/3/6 星期二 13:53:37,56.211,FALSE
104,P2M0CI230044,1599C4E4,0,6228,14006,35788,9,9,2204,,2018/3/6 星期二 13:54:56,66.837,TRUE
105,P2M0CI230045,1599D0BB,0,6239,14006,35788,8,9,2181,,2018/3/6 星期二 14:07:55,84.244,TRUE
106,P2M0CI230001,159A0824,0,6193,14006,35788,8,9,2183,,2018/3/6 星期二 14:50:50,71.794,TRUE
107,P2M0CI230011,1599C4F8,0,6200,14006,35788,8,9,2168,,2018/3/6 星期二 14:53:25,64.754,TRUE
