条码,MAIN_MAC,MAIN_App版本,电压值,终端类型,MAIN_晶振测试值,MAIN_RSSI1,MAIN_RSSI2,电流值,测试失败项,测试时间,测试耗时,测试结果
P2M0CI230039,1599D0C2,0,6272,14006,35788,9,9,549,,2018/3/5 18:26,62.54,TRUE
P2M0CI230040,1599D0B3,0,6222,14006,0,0,0,0,TEST_EXT_IO,2018/3/5 18:28,78.6,FALSE
P2M0CI230040,1599D0B3,0,6224,14006,35788,8,9,2122,,2018/3/5 18:30,66.69,TRUE
P2M0CI230041,1599D0FE,0,6194,14006,35788,8,9,51,,2018/3/5 18:33,61.77,TRUE
P2M0CI230042,1599EF31,0,6225,14006,35788,9,9,2236,,2018/3/5 18:36,71.72,TRUE
P2M0CI230043,1599EF4A,0,6222,14006,0,0,0,0,TEST_LED,2018/3/5 18:38,54.12,FALSE
P2M0CI230043,1599C4E4,0,6246,14006,0,0,0,0,Main_Auto_Test,2018/3/5 18:40,101.24,FALSE
P2M0CI230043,159A121A,0,6225,14006,35788,9,9,2823,LOWPOWER_MODE,2018/3/5 18:44,74.29,FALSE
P2M0CI230043,1599D087,0,6232,14006,0,0,0,0,TEST_EXT_IO,2018/3/6 10:12,61.62,FALSE
P2M0CI230043,1599D087,0,6234,14006,0,0,0,0,Main_Auto_Test,2018/3/6 10:13,52.79,FALSE
P2M0CI230043,1599D087,0,6229,14006,35788,8,9,1686,,2018/3/6 10:14,63.54,TRUE
P2M0CI230044,1599EF4A,0,6227,14006,0,0,0,0,TEST_LED,2018/3/6 10:21,100.73,FALSE
P2M0CI230041,1599D0FE,0,6199,14006,35788,256,256,0,MAIN_RADIO,2018/3/6 11:30,74.75,FALSE
P2M0CI230041,1599D0FE,0,6208,14006,35788,8,9,2166,,2018/3/6 11:32,72.22,TRUE
P2M0CI230032,1599D0FD,0,6251,14006,0,0,0,0,Main_Auto_Test,2018/3/6 13:45,76.45,FALSE
P2M0CI230032,1599D0FD,0,6243,14006,35788,9,9,2117,,2018/3/6 13:48,85.96,TRUE
P2M0CI230044,1599C4E4,0,6215,14006,0,0,0,0,Main_Auto_Test,2018/3/6 13:53,56.21,FALSE
P2M0CI230044,1599C4E4,0,6228,14006,35788,9,9,2204,,2018/3/6 13:54,66.83,TRUE
P2M0CI230045,1599D0BB,0,6239,14006,35788,8,9,2181,,2018/3/6 14:07,84.24,TRUE
P2M0CI230001,159A0824,0,6193,14006,35788,8,9,2183,,2018/3/6 14:50,71.79,TRUE
P2M0CI230011,1599C4F8,0,6200,14006,35788,8,9,2168,,2018/3/6 14:53,64.75,TRUE
